gameID,teamID,season,date,location,goals,xGoals,shots,shotsOnTarget,deep,ppda,fouls,corners,yellowCards,redCards,result
110,83,2015,2015-08-24 23:00:00,h,0,1.83755,19,5,14,5.6154,2,7,1.0,0,D
110,87,2015,2015-08-24 23:00:00,a,0,1.29206,15,8,9,10.4286,13,8,4.0,0,D
111,86,2015,2015-08-29 15:45:00,h,0,0.0319694,1,0,0,21.8235,15,0,6.0,1,L
111,83,2015,2015-08-29 15:45:00,a,1,2.33948,22,9,15,5.5357,8,9,1.0,0,W
112,85,2015,2015-08-29 18:00:00,h,0,1.21771,13,5,2,23.8889,4,6,1.0,2,L
112,76,2015,2015-08-29 18:00:00,a,1,0.881194,15,5,8,8.9677,9,5,4.0,0,W
113,71,2015,2015-08-29 18:00:00,h,2,2.27406,21,6,12,8.6364,10,5,2.0,0,D
113,77,2015,2015-08-29 18:00:00,a,2,0.368848,7,3,3,7.35,14,4,1.0,0,D
114,73,2015,2015-08-29 18:00:00,h,1,0.321432,5,2,4,7.05,9,4,2.0,0,D
114,75,2015,2015-08-29 18:00:00,a,1,0.919097,4,2,6,5.1667,19,4,4.0,0,D
115,80,2015,2015-08-29 18:00:00,h,1,1.27906,26,9,10,8.2,9,7,1.0,0,L
115,78,2015,2015-08-29 18:00:00,a,2,2.19283,13,5,8,18.5,15,7,1.0,0,W
116,87,2015,2015-08-29 18:00:00,h,0,0.561737,13,1,12,5.9655,17,5,3.0,1,L
116,81,2015,2015-08-29 18:00:00,a,3,0.97217,12,5,1,12.0909,11,7,1.0,1,W
117,88,2015,2015-08-29 18:00:00,h,2,1.52895,18,5,9,10.1429,9,9,1.0,0,W
117,90,2015,2015-08-29 18:00:00,a,0,0.363603,7,0,1,20.4444,12,3,2.0,0,L
118,82,2015,2015-08-29 20:30:00,h,0,1.99917,20,6,11,7.4375,20,6,4.0,0,D
118,72,2015,2015-08-29 20:30:00,a,0,0.694692,8,3,6,18.5385,9,2,1.0,0,D
119,74,2015,2015-08-30 16:30:00,h,3,2.85501,23,8,2,10.3333,4,6,0.0,0,W
119,79,2015,2015-08-30 16:30:00,a,0,0.639434,6,1,2,25.5833,12,4,0.0,1,L
120,84,2015,2015-08-30 19:00:00,h,2,0.971183,9,4,3,15.1739,6,0,2.0,0,W
120,89,2015,2015-08-30 19:00:00,a,1,1.28089,11,4,9,6.8966,15,1,2.0,0,L
121,72,2015,2015-09-12 15:45:00,h,3,1.18026,14,9,4,15.0476,12,7,2.0,0,W
121,80,2015,2015-09-12 15:45:00,a,1,0.656048,15,2,7,7.6154,12,14,2.0,0,L
122,83,2015,2015-09-12 18:00:00,h,2,4.42684,29,12,20,6.76,6,13,1.0,0,W
122,85,2015,2015-09-12 18:00:00,a,0,0.191277,8,3,2,15.9048,13,1,1.0,0,L
123,78,2015,2015-09-12 18:00:00,h,0,0.743193,10,2,2,8.625,13,4,2.0,0,L
123,88,2015,2015-09-12 18:00:00,a,1,3.08883,21,7,8,8.5833,13,4,3.0,0,W
124,90,2015,2015-09-12 18:00:00,h,1,1.57333,17,6,3,11.2593,11,1,1.0,1,W
124,84,2015,2015-09-12 18:00:00,a,0,0.503008,8,3,8,6.7,14,3,1.0,0,L
125,76,2015,2015-09-12 18:00:00,h,0,0.409143,8,1,5,20.4118,5,4,1.0,0,D
125,74,2015,2015-09-12 18:00:00,a,0,1.00731,15,4,7,8.5556,5,5,0.0,0,D
126,79,2015,2015-09-12 18:00:00,h,3,1.33151,12,4,7,9.9615,10,4,2.0,0,W
126,73,2015,2015-09-12 18:00:00,a,1,0.389495,7,2,3,11.6316,11,4,3.0,0,L
127,89,2015,2015-09-12 20:30:00,h,3,1.46206,9,3,4,9.7778,6,4,1.0,0,W
127,87,2015,2015-09-12 20:30:00,a,1,1.02572,8,4,5,14.4762,11,4,2.0,0,L
128,77,2015,2015-09-13 16:30:00,h,0,1.0407,12,2,4,12.0556,11,6,2.0,0,L
128,82,2015,2015-09-13 16:30:00,a,1,1.45615,15,4,12,5.1724,12,8,1.0,0,W
129,75,2015,2015-09-13 19:00:00,h,3,1.34987,21,6,11,7.1515,8,4,2.0,0,W
129,71,2015,2015-09-13 19:00:00,a,2,0.953181,11,4,5,8.4091,13,5,1.0,0,L
