"playerID","name"
"820","Boaz Myhill"
"819","James Chester"
"664","Joleon Lescott"
"804","Craig Dawson"
"904","Chris Brunt"
"812","Craig Gardner"
"990","James Morrison"
"809","Darren Fletcher"
"814","James McClean"
"811","Saido Berahino"
"816","Rickie Lambert"
"880","Callum McManaman"
"808","Claudio Yacob"
"818","Victor Anichebe"
"609","Joe Hart"
"625","Bacary Sagna"
"612","Vincent Kompany"
"626","Eliaquim Mangala"
"621","Aleksandar Kolarov"
"614","Fernandinho"
"878","Yaya Touré"
"616","Jesús Navas"
"617","David Silva"
"618","Raheem Sterling"
"622","Wilfried Bony"
"877","Samir Nasri"
"623","Martín Demichelis"
"619","Sergio Agüero"
"323","Adnan Januzaj"
"842","Oriol Romeu"
"843","James Ward-Prowse"
"591","Gerard Deulofeu"
"977","Tyias Browning"
"732","Yann M&#039;Vila"
"932","Danny Graham"
"919","Duncan Watmore"
"796","Gary O&#039;Neil"
"783","Nathan Dyer"
"830","Leon Britton"
"765","Steven Taylor"
"915","Rolando Aarons"
"637","Hugo Lloris"
"865","Marko Arnautovic"
"867","Stephen Ireland"
"866","Joselu"
"569","Almen Abdi"
"744","Steven Berghuis"
"805","Jonas Olsson"
"806","Gareth McAuley"
"813","Salomón Rondón"
"938","Carl Jenkinson"
"542","Pedro Obiang"
"535","Manuel Lanzini"
"526","Lee Chung-yong"
"822","Patrick Bamford"
"492","Héctor Bellerín"
"545","Kieran Gibbs"
"970","Mikel Arteta"
"936","Ramires"
"1089","Juan Cuadrado"
"608","Alberto Moreno"
"975","Lee Tomlin"
"825","Adam Smith"
"191","Chicharito"
"770","Ayoze Pérez"
"942","Florian Thauvin"
"888","Xherdan Shaqiri"
"729","John O&#039;Shea"
"520","Bakary Sako"
"743","Dwight Gayle"
"675","Jack Grealish"
"900","Adama Traoré"
"761","Gökhan Inler"
"756","Leonardo Ulloa"
"653","Tom Carroll"
"540","Darren Randolph"
"993","Serge Gnabry"
"687","Pedro"
"685","John Obi Mikel"
"876","Fabian Delph"
"948","Alessandro Diamanti"
"953","Steven Caulker"
"508","Calum Chambers"
"493","Gabriel"
"475","Lucas Leiva"
"988","Jordan Rossiter"
"945","Marc Wilson"
"855","Cristian Gamboa"
"663","Alan Hutton"
"670","Carles Gil"
"739","Ola Toivonen"
"1024","Tyrone Mings"
"999","Joseph Dodoo"
"688","Ruben Loftus-Cheek"
"689","Kenedy"
"517","Joe Ledley"
"986","Danny Ings"
"1018","Josh Cullen"
"620","Kelechi Iheanacho"
"641","Danny Rose"
"815","Alex Pritchard"
"897","Juanmi"
"894","Andre Wisdom"
"964","Kyle Bartley"
"630","Marouane Fellaini"
"908","Muhamed Besic"
"597","Ramiro Funes Mori"
"593","Aaron Lennon"
"857","Phil Bardsley"
"871","Bojan"
"525","Martin Kelly"
"933","Brede Hangeland"
"447","Kevin De Bruyne"
"807","Jonny Evans"
"833","Virgil van Dijk"
"795","Dieumerci Mbokani"
"798","Martin Olsson"
"463","Junior Stanislas"
"546","David de Gea"
"553","Anthony Martial"
"484","Divock Origi"
"931","Jordi Gómez"
"737","Fabio Borini"
"453","Son Heung-Min"
"775","Andros Townsend"
"541","Victor Moses"
"537","Andy Carroll"
"690","Loïc Remy"
"583","Adlène Guédioura"
"579","Nathan Aké"
"828","Sylvain Distin"
"872","Peter Crouch"
"720","Modou Barrow"
"611","Nicolás Otamendi"
"531","Michail Antonio"
"655","James Collins"
"940","Nikica Jelavic"
"960","Clinton N&#039;Jie"
"634","Fraizer Campbell"
"550","Marcos Rojo"
"559","Paddy McNair"
"485","Mamadou Sakho"
"483","Daniel Sturridge"
"624","Willy Caballero"
"615","Fernando"
"925","Patrick Roberts"
"835","Ryan Bertrand"
"956","Andrej Kramaric"
"895","Mathieu Flamini"
"480","Joe Allen"
"951","Phil Jones"
"983","Kevin Mbabu"
"998","Ivan Toney"
"947","Víctor Ibarbo"
"509","Wayne Hennessey"
"921","Darron Gibson"
"962","José Ángel Crespo"
"610","Pablo Zabaleta"
"916","Yoan Gouffran"
"766","Jamaal Lascelles"
"981","Kyle Lafferty"
"746","Danny Simpson"
"727","DeAndre Yedlin"
"707","Angel Rangel"
"992","James Wilson"
"954","Kelvin Davis"
"837","Jordy Clasie"
"810","Stéphane Sessegnon"
"684","Abdul Rahman Baba"
"558","Jesse Lingard"
"469","Adam Federici"
